name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
Homens                                                                                                                                                                           ,0.736,0.439,-12.062,0.0527,0.796,0.000474,0.0941,0.972,149.984,198427,9
"Lisboa, Menina E Moça                                                                                                                                                          ",0.524,0.578,-10.644,0.0505,0.716,0.703,0.0876,0.567,78.644,275017,27
Lisboa menina e moça                                                                                                                                                             ,0.708,0.333,-10.643,0.0285,0.862,0.000594,0.0915,0.757,101.86,186697,29
Para Machuchar Meu Coracao                                                                                                                                                       ,0.617,0.131,-17.83,0.0387,0.961,0.0101,0.0987,0.449,131.953,304133,3
Esperando Na Janela - Versão Acústica                                                                                                                                            ,0.615,0.157,-14.081,0.0406,0.93,0.00193,0.114,0.513,148.99,202560,3
Água de beber                                                                                                                                                                    ,0.771,0.555,-12.366,0.0493,0.871,0.422,0.0829,0.553,98.094,331773,29
Mama África                                                                                                                                                                      ,0.676,0.469,-8.715,0.0482,0.648,0.0,0.987,0.885,163.709,214827,28
Á Primeira Vista                                                                                                                                                                 ,0.542,0.148,-12.99,0.0394,0.782,0.0,0.704,0.248,89.585,216800,28
Tambores                                                                                                                                                                         ,0.598,0.278,-11.505,0.0472,0.72,0.000161,0.754,0.567,125.032,172907,28
Guarda-me A Vida Na Mão                                                                                                                                                          ,0.482,0.136,-15.844,0.0318,0.946,0.000762,0.104,0.26,135.574,238307,3
A Prosa Impúrpura do Caicó                                                                                                                                                       ,0.505,0.209,-14.983,0.0387,0.849,0.0094,0.701,0.503,135.836,165667,28
Paraíba                                                                                                                                                                          ,0.569,0.186,-14.838,0.0365,0.959,0.137,0.738,0.536,84.091,235693,28
Berekerê - Voice                                                                                                                                                                 ,0.434,0.573,-11.203,0.0666,0.83,0.0,0.0584,0.786,172.189,316600,9
Pagode da Saidera                                                                                                                                                                ,0.584,0.792,-10.644,0.103,0.723,1.34e-06,0.204,0.938,103.671,181600,9
Disfarça e Chora                                                                                                                                                                 ,0.747,0.185,-11.699,0.0498,0.905,0.0172,0.103,0.588,151.833,186200,29
Tudo isto é fado                                                                                                                                                                 ,0.405,0.317,-10.836,0.0299,0.9,4.08e-05,0.12,0.315,139.316,243893,3
Quando Te Vi                                                                                                                                                                     ,0.543,0.129,-14.344,0.0342,0.97,0.0133,0.157,0.353,134.502,161240,3
Sr. Vinho                                                                                                                                                                        ,0.348,0.337,-10.368,0.0348,0.816,0.000811,0.103,0.398,192.711,181173,3
Inês                                                                                                                                                                             ,0.462,0.0827,-13.262,0.0371,0.965,0.000489,0.111,0.224,135.193,216147,3
Seja Agora                                                                                                                                                                       ,0.665,0.783,-6.046,0.083,0.832,0.0,0.0862,0.831,98.179,184133,9
Algo Novo                                                                                                                                                                        ,0.83,0.431,-9.463,0.0378,0.863,2.26e-05,0.118,0.506,131.959,212920,29
Pois Foi                                                                                                                                                                         ,0.459,0.254,-11.39,0.0279,0.947,0.00602,0.122,0.494,79.85,185160,3
Há-De Passar                                                                                                                                                                     ,0.776,0.347,-9.761,0.0562,0.961,0.000404,0.0932,0.51,123.28,146533,29
Xico                                                                                                                                                                             ,0.442,0.56,-8.231,0.139,0.47,1.53e-05,0.347,0.622,179.643,192773,23
O Engraxador                                                                                                                                                                     ,0.725,0.293,-10.315,0.0421,0.826,0.000479,0.244,0.343,105.045,184427,3
Clandestino                                                                                                                                                                      ,0.635,0.398,-12.003,0.0694,0.717,4.49e-06,0.671,0.504,172.19,167133,28
